datetime_utc,candle_close_utc,current_price,candle_low,entry_price,current_return_pct,intraday_low_ret_pct,target_return_pct,sl_pct,sl_price,tp_price,days_held,horizon_days,exit_triggered
2026-07-24 01:11:14,2026-07-24 01:10:00,65046.0,65044.0,65069.0,-0.0353,-0.0384,2.0652,-1.0326,64397.1,66412.8,0.045,7,none
2026-07-24 01:16:08,2026-07-24 01:15:00,64989.0,64983.0,65069.0,-0.1229,-0.1322,2.0652,-1.0326,64397.1,66412.8,0.049,7,none
2026-07-24 01:21:11,2026-07-24 01:20:00,65000.0,64993.0,65069.0,-0.106,-0.1168,2.0652,-1.0326,64397.1,66412.8,0.052,7,none
2026-07-24 01:26:13,2026-07-24 01:25:00,65057.0,65011.0,65069.0,-0.0184,-0.0891,2.0652,-1.0326,64397.1,66412.8,0.056,7,none
2026-07-24 01:31:20,2026-07-24 01:30:00,65006.0,64999.0,65069.0,-0.0968,-0.1076,2.0652,-1.0326,64397.1,66412.8,0.059,7,none
2026-07-24 01:36:07,2026-07-24 01:35:00,65093.0,65080.0,65069.0,0.0369,0.0169,2.0652,-1.0326,64397.1,66412.8,0.062,7,none
2026-07-24 01:41:19,2026-07-24 01:40:00,65123.0,65113.0,65069.0,0.083,0.0676,2.0652,-1.0326,64397.1,66412.8,0.066,7,none
2026-07-24 01:46:24,2026-07-24 01:45:00,65062.0,65060.0,65069.0,-0.0108,-0.0138,2.0652,-1.0326,64397.1,66412.8,0.07,7,none
2026-07-24 01:51:07,2026-07-24 01:50:00,65055.0,65052.0,65069.0,-0.0215,-0.0261,2.0652,-1.0326,64397.1,66412.8,0.073,7,none
2026-07-24 01:56:06,2026-07-24 01:55:00,65068.0,65062.0,65069.0,-0.0015,-0.0108,2.0652,-1.0326,64397.1,66412.8,0.076,7,none
2026-07-24 02:01:29,2026-07-24 02:00:00,65070.0,65053.0,65069.0,0.0015,-0.0246,2.0652,-1.0326,64397.1,66412.8,0.08,7,none
2026-07-24 02:06:17,2026-07-24 02:05:00,65031.0,65031.0,65069.0,-0.0584,-0.0584,2.0652,-1.0326,64397.1,66412.8,0.083,7,none
2026-07-24 02:11:08,2026-07-24 02:10:00,65102.0,65100.0,65069.0,0.0507,0.0476,2.0652,-1.0326,64397.1,66412.8,0.087,7,none
2026-07-24 02:16:10,2026-07-24 02:15:00,65129.0,65128.0,65069.0,0.0922,0.0907,2.0652,-1.0326,64397.1,66412.8,0.09,7,none
2026-07-24 02:21:15,2026-07-24 02:20:00,65086.0,65085.0,65069.0,0.0261,0.0246,2.0652,-1.0326,64397.1,66412.8,0.094,7,none
2026-07-24 02:26:15,2026-07-24 02:25:00,65132.0,65117.0,65069.0,0.0968,0.0738,2.0652,-1.0326,64397.1,66412.8,0.097,7,none
2026-07-24 02:31:16,2026-07-24 02:30:00,65084.0,65084.0,65069.0,0.0231,0.0231,2.0652,-1.0326,64397.1,66412.8,0.101,7,none
2026-07-24 02:36:04,2026-07-24 02:35:00,64926.0,64887.0,65069.0,-0.2198,-0.2797,2.0652,-1.0326,64397.1,66412.8,0.104,7,none
2026-07-24 02:41:11,2026-07-24 02:40:00,65024.0,64963.0,65069.0,-0.0692,-0.1629,2.0652,-1.0326,64397.1,66412.8,0.108,7,none
2026-07-24 02:46:12,2026-07-24 02:45:00,65025.0,65020.0,65069.0,-0.0676,-0.0753,2.0652,-1.0326,64397.1,66412.8,0.111,7,none
2026-07-24 02:51:08,2026-07-24 02:50:00,64956.0,64925.0,65069.0,-0.1737,-0.2213,2.0652,-1.0326,64397.1,66412.8,0.115,7,none
2026-07-24 02:56:10,2026-07-24 02:55:00,65000.0,64983.0,65069.0,-0.106,-0.1322,2.0652,-1.0326,64397.1,66412.8,0.118,7,none
